numero_local,region,provincia,distrito,lat,lng,clasificacion_oficial_urbano_rural,fuente_clasificacion_oficial,codigo_casco_urbano_inei,distrito_casco_urbano_inei,descripcion_casco_urbano_inei,distancia_borde_casco_urbano_m,profundidad_relativa_casco_urbano,subclasificacion_urbana_oficial
4461,PUNO,SANDIA,QUIACA,-14.542292,-69.38067,rural,Fuera de casco urbano INEI,,,,,,
4464,PUNO,SANDIA,SAN JUAN DEL ORO,-14.201902,-69.096041,rural,Fuera de casco urbano INEI,,,,,,
4467,PUNO,SANDIA,SAN PEDRO DE PUTINA PUNCO,-14.055394,-68.960733,rural,Fuera de casco urbano INEI,,,,,,
4498,PUNO,SAN ROMAN,CABANILLAS,-15.859509,-70.75153,rural,Fuera de casco urbano INEI,,,,,,
4540,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,-5.8779,-77.1206,urbano,INEI casco urbano WFS,220101,MOYOBAMBA,CASCO URBANO,172.77,0.0714,urbano_periferico
4541,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,-5.692619,-77.372547,rural,Fuera de casco urbano INEI,,,,,,
4547,SAN MARTIN,MOYOBAMBA,JEPELACIO,-6.1117,-76.8494,urbano,INEI casco urbano WFS,220104,JEPELACIO,CASCO URBANO,142.66,0.1577,urbano_central
4566,SAN MARTIN,LAMAS,PINTO RECODO,-6.1713,-76.8264,urbano,INEI casco urbano WFS,220506,PINTO RECODO,CASCO URBANO,206.11,0.4536,urbano_central
4568,SAN MARTIN,LAMAS,PINTO RECODO,-6.1091,-76.8375,rural,Fuera de casco urbano INEI,,,,,,
4576,SAN MARTIN,LAMAS,ALONSO DE ALVARADO,-6.272911,-76.772129,urbano,INEI casco urbano WFS,220502,ALONSO DE ALVARADO,CASCO URBANO,67.86,0.0737,urbano_periferico
4616,SAN MARTIN,SAN MARTIN,CHAZUTA,-6.488201,-75.906282,urbano,INEI casco urbano WFS,220904,CHAZUTA,CASCO URBANO,39.92,0.0613,urbano_periferico
4619,SAN MARTIN,SAN MARTIN,CHIPURANA,-6.422884,-75.860569,urbano,INEI casco urbano WFS,220905,CHIPURANA,CASCO URBANO,182.18,0.4063,urbano_central
4622,SAN MARTIN,SAN MARTIN,HUIMBAYOC,-6.453417,-75.843992,urbano,INEI casco urbano WFS,220907,HUIMBAYOC,CASCO URBANO,65.27,0.0878,urbano_periferico
4646,SAN MARTIN,TOCACHE,POLVORA,-8.10858,-76.61755,urbano,INEI casco urbano WFS,221003,POLVORA,CASCO URBANO,290.2,0.2933,urbano_central
4650,SAN MARTIN,TOCACHE,UCHIZA,-8.330404,-76.343761,urbano,INEI casco urbano WFS,221005,UCHIZA,CASCO URBANO,75.07,0.0556,urbano_periferico
4728,TACNA,JORGE BASADRE,ILABAYA,-17.286531,-70.637811,urbano,INEI casco urbano WFS,230302,ILABAYA,CASCO URBANO,12.16,0.013,urbano_periferico
4730,TACNA,JORGE BASADRE,ILABAYA,-17.481203,-70.557613,rural,Fuera de casco urbano INEI,,,,,,
4908,UCAYALI,CORONEL PORTILLO,MASISEA,-8.855874,-74.203395,urbano,INEI casco urbano WFS,250104,MASISEA,CASCO URBANO,75.44,0.0747,urbano_periferico
4909,UCAYALI,CORONEL PORTILLO,MASISEA,-8.854881,-74.31565,rural,Fuera de casco urbano INEI,,,,,,
4914,UCAYALI,CORONEL PORTILLO,IPARIA,-9.361062,-74.219033,rural,Fuera de casco urbano INEI,,,,,,
4915,UCAYALI,CORONEL PORTILLO,IPARIA,-9.34808,-74.306576,rural,Fuera de casco urbano INEI,,,,,,
4931,UCAYALI,ATALAYA,TAHUANIA,-9.722968,-74.181332,rural,Fuera de casco urbano INEI,,,,,,
5394,APURIMAC,ABANCAY,CIRCA,-13.851123,-72.977817,rural,Fuera de casco urbano INEI,,,,,,
5450,CAJAMARCA,CONTUMAZA,SAN BENITO,-7.450258,-78.875552,rural,Fuera de casco urbano INEI,,,,,,
5599,SAN MARTIN,TOCACHE,UCHIZA,-8.295,-76.3624,urbano,INEI casco urbano WFS,221005,UCHIZA,CASCO URBANO,103.2,0.0765,urbano_periferico
5683,CAJAMARCA,CAJABAMBA,SITACOCHA,-7.452439,-77.865065,rural,Fuera de casco urbano INEI,,,,,,
5861,CAJAMARCA,CELENDIN,SOROCHUCO,-6.911589,-78.291894,rural,Fuera de casco urbano INEI,,,,,,
5961,AMAZONAS,BAGUA,LA PECA,-5.622026,-78.448383,urbano,INEI casco urbano WFS,010206,LA PECA,CASCO URBANO,112.56,0.1805,urbano_central
5996,AMAZONAS,LUYA,SANTA CATALINA,-6.032222,-78.135555,rural,Fuera de casco urbano INEI,,,,,,
6280,LIMA,HUAROCHIRI,SAN DAMIAN,-12.0497,-76.372128,urbano,INEI casco urbano WFS,150718,SAN DAMIAN,CASCO URBANO,38.09,0.1232,urbano_periferico
6682,AMAZONAS,LUYA,PISUQUIA,-6.374854,-78.1424,rural,Fuera de casco urbano INEI,,,,,,
6706,AMAZONAS,LUYA,COCABAMBA,-6.537218,-78.086199,rural,Fuera de casco urbano INEI,,,,,,
6728,AYACUCHO,LUCANAS,LEONCIO PRADO,-14.6563,-74.6965,urbano,INEI casco urbano WFS,050609,LEONCIO PRADO,CASCO URBANO,64.6,0.19,urbano_periferico
6816,LA LIBERTAD,OTUZCO,USQUIL,-7.765943,-78.396331,rural,Fuera de casco urbano INEI,,,,,,
6819,LA LIBERTAD,OTUZCO,USQUIL,-7.876183,-78.361704,rural,Fuera de casco urbano INEI,,,,,,
6852,PIURA,HUANCABAMBA,EL CARMEN DE LA FRONTERA,-5.05994,-79.537,rural,Fuera de casco urbano INEI,,,,,,
6865,PIURA,HUANCABAMBA,HUARMACA,-5.70203,-79.457076,rural,Fuera de casco urbano INEI,,,,,,
6871,PIURA,PIURA,CATACAOS,-5.27904,-80.71312,urbano,INEI casco urbano WFS,200105,CATACAOS,CASCO URBANO,157.68,0.0751,urbano_periferico
7031,PIURA,HUANCABAMBA,HUARMACA,-5.555349,-79.578396,rural,Fuera de casco urbano INEI,,,,,,
7032,PIURA,HUANCABAMBA,HUARMACA,-5.665443,-79.524669,rural,Fuera de casco urbano INEI,,,,,,
7039,PIURA,HUANCABAMBA,HUARMACA,-5.567586,-79.43327,rural,Fuera de casco urbano INEI,,,,,,
7045,PIURA,HUANCABAMBA,HUARMACA,-5.61542,-79.615532,rural,Fuera de casco urbano INEI,,,,,,
7109,ANCASH,HUARI,HUACHIS,-9.37653,-77.055072,urbano,INEI casco urbano WFS,021007,HUACHIS,CASCO URBANO,117.95,0.2476,urbano_central
7110,ANCASH,MARISCAL LUZURIAGA,LUCMA,-8.918019,-77.446739,rural,Fuera de casco urbano INEI,,,,,,
7111,ANCASH,SIHUAS,HUAYLLABAMBA,-8.532323,-77.483807,urbano,INEI casco urbano WFS,021906,HUAYLLABAMBA,CASCO URBANO,155.36,0.2742,urbano_central
7112,ANCASH,YUNGAY,QUILLO,-9.35515,-77.9489,rural,Fuera de casco urbano INEI,,,,,,
7113,ANCASH,YUNGAY,YANAMA,-9.056775,-77.387527,rural,Fuera de casco urbano INEI,,,,,,
7115,APURIMAC,ABANCAY,PICHIRHUA,-13.8237,-73.0437,rural,Fuera de casco urbano INEI,,,,,,
7116,APURIMAC,ABANCAY,PICHIRHUA,-13.751,-72.9706,rural,Fuera de casco urbano INEI,,,,,,
7121,AYACUCHO,HUANTA,UCHURACCAY,-12.7791,-74.1075,rural,Fuera de casco urbano INEI,,,,,,
7123,AYACUCHO,LA MAR,ANCO,-12.961434,-73.532793,urbano,INEI casco urbano WFS,050502,ANCO,CASCO URBANO,35.4,0.0664,urbano_periferico
7126,AYACUCHO,VICTOR FAJARDO,SARHUA,-13.623252,-74.358483,urbano,INEI casco urbano WFS,051011,SARHUA,CASCO URBANO,37.1,0.0822,urbano_periferico
7127,AYACUCHO,VICTOR FAJARDO,SARHUA,-13.618363,-74.423108,urbano,INEI casco urbano WFS,051011,SARHUA,CASCO URBANO,52.09,0.1154,urbano_periferico
7133,CAJAMARCA,JAEN,COLASAY,-5.765138,-79.009258,rural,Fuera de casco urbano INEI,,,,,,
7134,CAJAMARCA,SAN MARCOS,GREGORIO PITA,-7.237279,-78.210577,urbano,INEI casco urbano WFS,061004,GREGORIO PITA,CASCO URBANO,100.98,0.182,urbano_central
7135,CUSCO,CHUMBIVILCAS,COLQUEMARCA,-14.1806,-72.0682,rural,Fuera de casco urbano INEI,,,,,,
7137,HUANCAVELICA,ANGARAES,CONGALLA,-12.943646,-74.539986,rural,Fuera de casco urbano INEI,,,,,,
7138,HUANCAVELICA,HUANCAVELICA,HUANDO,-12.65987,-75.04343,urbano,INEI casco urbano WFS,090119,HUANDO,CASCO URBANO,112.74,0.1562,urbano_central
7139,HUANCAVELICA,HUANCAVELICA,NUEVO OCCORO,-12.654377,-75.094871,rural,Fuera de casco urbano INEI,,,,,,
7140,HUANCAVELICA,HUANCAVELICA,VILCA,-12.575523,-75.244571,rural,Fuera de casco urbano INEI,,,,,,
7142,HUANUCO,AMBO,CAYNA,-10.2152,-76.3719,urbano,INEI casco urbano WFS,100202,CAYNA,CASCO URBANO,63.5,0.1205,urbano_periferico
7143,HUANUCO,AMBO,CAYNA,-10.229,-76.3288,rural,Fuera de casco urbano INEI,,,,,,
7144,HUANUCO,AMBO,HUACAR,-10.2387,-76.2309,rural,Fuera de casco urbano INEI,,,,,,
7145,HUANUCO,AMBO,HUACAR,-10.2229,-76.2898,rural,Fuera de casco urbano INEI,,,,,,
7146,HUANUCO,AMBO,HUACAR,-10.2605,-76.2669,rural,Fuera de casco urbano INEI,,,,,,
7147,HUANUCO,AMBO,SAN FRANCISCO,-10.2967,-76.2678,rural,Fuera de casco urbano INEI,,,,,,
7149,HUANUCO,AMBO,SAN RAFAEL,-10.2617,-75.8808,rural,Fuera de casco urbano INEI,,,,,,
7150,HUANUCO,HUACAYBAMBA,PINRA,-8.9376,-77.0888,rural,Fuera de casco urbano INEI,,,,,,
7152,HUANUCO,MARAÑON,CHOLON,-8.572981,-76.537429,rural,Fuera de casco urbano INEI,,,,,,
7155,HUANUCO,MARAÑON,HUACRACHUCO,-8.52932,-77.12699,rural,Fuera de casco urbano INEI,,,,,,
7157,HUANUCO,MARAÑON,SAN BUENAVENTURA,-8.812662,-77.16806,rural,Fuera de casco urbano INEI,,,,,,
7158,HUANUCO,PACHITEA,CHAGLLA,-9.5337,-75.9252,rural,Fuera de casco urbano INEI,,,,,,
7159,HUANUCO,PUERTO INCA,TOURNAVISTA,-8.9367,-75.03935,rural,Fuera de casco urbano INEI,,,,,,
7162,LA LIBERTAD,SANCHEZ CARRION,CHUGAY,-7.72551,-77.842613,rural,Fuera de casco urbano INEI,,,,,,
7163,LAMBAYEQUE,FERREÑAFE,CAÑARIS,-5.987244,-79.518973,rural,Fuera de casco urbano INEI,,,,,,
7164,LIMA,CANTA,SANTA ROSA DE QUIVES,-11.721327,-76.9634,urbano,INEI casco urbano WFS,150407,SANTA ROSA DE QUIVES,CASCO URBANO,130.61,0.1371,urbano_periferico
7166,LIMA,LIMA,PACHACAMAC,-12.09596,-76.88479,urbano,INEI casco urbano WFS,150123,PACHACAMAC,CASCO URBANO,424.96,0.1294,urbano_periferico
7167,LIMA,OYON,COCHAMARCA,-10.936127,-77.103369,rural,Fuera de casco urbano INEI,,,,,,
7168,LORETO,DATEM DEL MARAÑON,ANDOAS,-4.205501,-76.545399,rural,Fuera de casco urbano INEI,,,,,,
7169,LORETO,DATEM DEL MARAÑON,MANSERICHE,-4.61311,-77.602924,rural,Fuera de casco urbano INEI,,,,,,
7170,PASCO,DANIEL ALCIDES CARRION,SANTA ANA DE TUSI,-10.3695,-76.3404,urbano,INEI casco urbano WFS,190206,SANTA ANA DE TUSI,CASCO URBANO,40.57,0.0939,urbano_periferico
7172,PIURA,HUANCABAMBA,HUARMACA,-5.653352,-79.585605,rural,Fuera de casco urbano INEI,,,,,,
7173,PIURA,HUANCABAMBA,HUARMACA,-5.735661,-79.629675,rural,Fuera de casco urbano INEI,,,,,,
7180,PIURA,MORROPON,CHULUCANAS,-5.11174,-80.06723,urbano,INEI casco urbano WFS,200401,CHULUCANAS,CASCO URBANO,163.52,0.082,urbano_periferico
7181,PIURA,PAITA,LA HUACA,-4.922716,-80.922378,urbano,INEI casco urbano WFS,200505,LA HUACA,CASCO URBANO,247.62,0.2588,urbano_central
7183,PIURA,PIURA,LA ARENA,-5.38083,-80.694838,urbano,INEI casco urbano WFS,200109,LA ARENA,CASCO URBANO,309.53,0.1676,urbano_central
7185,PIURA,PIURA,TAMBO GRANDE,-4.8861,-80.3834,urbano,INEI casco urbano WFS,200114,TAMBO GRANDE,CASCO URBANO,81.75,0.0424,urbano_periferico
7187,PIURA,PIURA,TAMBO GRANDE,-4.9433,-80.5261,urbano,INEI casco urbano WFS,200114,TAMBO GRANDE,CASCO URBANO,121.45,0.0629,urbano_periferico
7188,PUNO,MELGAR,MACARI,-14.6143,-70.8913,urbano,INEI casco urbano WFS,210805,MACARI,CASCO URBANO,127.39,0.1606,urbano_central
7189,PUNO,PUNO,CHUCUITO,-15.854981,-69.824823,rural,Fuera de casco urbano INEI,,,,,,
7190,PUNO,PUNO,CHUCUITO,-15.845062,-69.843707,rural,Fuera de casco urbano INEI,,,,,,
7191,PUNO,SANDIA,SAN PEDRO DE PUTINA PUNCO,-14.041377,-68.957638,rural,Fuera de casco urbano INEI,,,,,,
7215,AYACUCHO,VICTOR FAJARDO,ALCAMENCA,-13.679769,-74.192697,urbano,INEI casco urbano WFS,051002,ALCAMENCA,CASCO URBANO,75.3,0.0946,urbano_periferico
7217,HUANUCO,MARAÑON,HUACRACHUCO,-8.564725,-77.23596,urbano,INEI casco urbano WFS,100701,HUACRACHUCO,CASCO URBANO,59.08,0.0686,urbano_periferico
7218,HUANUCO,MARAÑON,HUACRACHUCO,-8.691925,-77.213775,urbano,INEI casco urbano WFS,100701,HUACRACHUCO,CASCO URBANO,49.01,0.0569,urbano_periferico
7220,HUANUCO,MARAÑON,SAN BUENAVENTURA,-8.737975,-77.135279,rural,Fuera de casco urbano INEI,,,,,,
7222,HUANCAVELICA,HUANCAVELICA,ACORIA,-12.58504,-74.713364,urbano,INEI casco urbano WFS,090103,ACORIA,CASCO URBANO,40.26,0.0365,urbano_periferico
7223,HUANCAVELICA,HUANCAVELICA,ACORIA,-12.6591,-74.8966,urbano,INEI casco urbano WFS,090103,ACORIA,CASCO URBANO,88.03,0.0799,urbano_periferico
7224,HUANCAVELICA,ACOBAMBA,PAUCARA,-12.715,-74.7274,rural,Fuera de casco urbano INEI,,,,,,
7227,HUANCAVELICA,CHURCAMPA,ANCO,-12.696224,-74.533355,rural,Fuera de casco urbano INEI,,,,,,
7228,CUSCO,CHUMBIVILCAS,LIVITACA,-14.362128,-71.620726,rural,Fuera de casco urbano INEI,,,,,,
7230,HUANCAVELICA,TAYACAJA,QUICHUAS,-12.4673,-74.7291,rural,Fuera de casco urbano INEI,,,,,,
7249,APURIMAC,ABANCAY,CIRCA,-13.9687,-72.8912,rural,Fuera de casco urbano INEI,,,,,,
7262,AYACUCHO,LA MAR,ANCO,-13.1159,-73.6925,rural,Fuera de casco urbano INEI,,,,,,
7264,CAJAMARCA,SAN IGNACIO,LA COIPA,-5.377622,-79.01399,rural,Fuera de casco urbano INEI,,,,,,
7265,CAJAMARCA,SAN IGNACIO,LA COIPA,-5.42297,-79.026668,rural,Fuera de casco urbano INEI,,,,,,
7266,CAJAMARCA,CELENDIN,SOROCHUCO,-6.97136,-78.257522,rural,Fuera de casco urbano INEI,,,,,,
7267,CAJAMARCA,CHOTA,SAN JUAN DE LICUPIS,-6.511266,-79.252097,rural,Fuera de casco urbano INEI,,,,,,
7268,HUANUCO,MARAÑON,HUACRACHUCO,-8.643317,-77.113803,urbano,INEI casco urbano WFS,100701,HUACRACHUCO,CASCO URBANO,115.65,0.1344,urbano_periferico
7278,CUSCO,LA CONVENCION,MEGANTONI,-11.451574,-73.033559,rural,Fuera de casco urbano INEI,,,,,,
7281,TACNA,TACNA,LA YARADA LOS PALOS,-18.175229,-70.504956,rural,Fuera de casco urbano INEI,,,,,,
7283,CUSCO,LA CONVENCION,MEGANTONI,-11.301763,-72.996938,rural,Fuera de casco urbano INEI,,,,,,
7285,CUSCO,LA CONVENCION,MEGANTONI,-11.536595,-73.136142,rural,Fuera de casco urbano INEI,,,,,,
7286,AMAZONAS,CHACHAPOYAS,LA JALCA,-6.5585,-77.8142,rural,Fuera de casco urbano INEI,,,,,,
7287,AMAZONAS,LUYA,PISUQUIA,-6.378092,-78.111455,rural,Fuera de casco urbano INEI,,,,,,
7288,ANCASH,HUARAZ,TARICA,-9.377733,-77.530936,rural,Fuera de casco urbano INEI,,,,,,
7289,ANCASH,RECUAY,PARARIN,-10.008964,-77.734264,rural,Fuera de casco urbano INEI,,,,,,
7290,ANCASH,RECUAY,LLACLLIN,-10.10834,-77.59297,rural,Fuera de casco urbano INEI,,,,,,
7292,AREQUIPA,LA UNION,HUAYNACOTAS,-14.759185,-72.740048,rural,Fuera de casco urbano INEI,,,,,,
7293,CAJAMARCA,SAN PABLO,TUMBADEN,-6.93228,-78.667179,rural,Fuera de casco urbano INEI,,,,,,
7294,CAJAMARCA,CAJABAMBA,CACHACHI,-7.53322,-78.17381,rural,Fuera de casco urbano INEI,,,,,,
7295,CAJAMARCA,CELENDIN,CORTEGANA,-6.458077,-78.303617,rural,Fuera de casco urbano INEI,,,,,,
7296,CAJAMARCA,CELENDIN,HUASMIN,-6.729306,-78.358713,rural,Fuera de casco urbano INEI,,,,,,
7297,CAJAMARCA,CELENDIN,HUASMIN,-6.787839,-78.350887,rural,Fuera de casco urbano INEI,,,,,,
7298,CAJAMARCA,CELENDIN,SOROCHUCO,-6.930127,-78.316538,rural,Fuera de casco urbano INEI,,,,,,
7299,CAJAMARCA,CELENDIN,SOROCHUCO,-6.945754,-78.31559,rural,Fuera de casco urbano INEI,,,,,,
7300,CAJAMARCA,CHOTA,QUEROCOTO,-6.304268,-79.120081,rural,Fuera de casco urbano INEI,,,,,,
7301,CAJAMARCA,SAN MARCOS,GREGORIO PITA,-7.238122,-78.189323,rural,Fuera de casco urbano INEI,,,,,,
7302,CUSCO,CHUMBIVILCAS,LIVITACA,-14.4974,-71.7755,urbano,INEI casco urbano WFS,080705,LIVITACA,CASCO URBANO,239.25,0.2784,urbano_central
7303,CUSCO,CHUMBIVILCAS,LIVITACA,-14.2055,-71.6418,rural,Fuera de casco urbano INEI,,,,,,
7304,CUSCO,QUISPICANCHI,OROPESA,-13.577971,-71.816664,urbano,INEI casco urbano WFS,081211,OROPESA,CASCO URBANO,62.87,0.045,urbano_periferico
7305,HUANCAVELICA,HUANCAVELICA,ACORIA,-12.613568,-74.709361,rural,Fuera de casco urbano INEI,,,,,,
7306,HUANCAVELICA,ACOBAMBA,POMACOCHA,-12.8506,-74.5385,urbano,INEI casco urbano WFS,090207,POMACOCHA,CASCO URBANO,57.36,0.0748,urbano_periferico
7308,HUANUCO,HUANUCO,CHURUBAMBA,-9.7518,-76.2645,rural,Fuera de casco urbano INEI,,,,,,
7309,HUANUCO,HUANUCO,QUISQUI (KICHKI),-9.880144,-76.475079,rural,Fuera de casco urbano INEI,,,,,,
7310,HUANUCO,AMBO,COLPAS,-10.2086,-76.4637,rural,Fuera de casco urbano INEI,,,,,,
7311,HUANUCO,LAURICOCHA,SAN FRANCISCO DE ASIS,-9.9475,-76.6194,urbano,INEI casco urbano WFS,101006,SAN FRANCISCO DE ASIS,CASCO URBANO,46.35,0.104,urbano_periferico
7312,LA LIBERTAD,SANCHEZ CARRION,CHUGAY,-7.68072,-77.811069,rural,Fuera de casco urbano INEI,,,,,,
7313,LA LIBERTAD,SANCHEZ CARRION,MARCABAL,-7.662973,-77.874224,rural,Fuera de casco urbano INEI,,,,,,
7315,LAMBAYEQUE,CHICLAYO,CHONGOYAPE,-6.751502,-79.482499,urbano,INEI casco urbano WFS,140102,CHONGOYAPE,CASCO URBANO,67.68,0.0508,urbano_periferico
7316,LAMBAYEQUE,FERREÑAFE,INCAHUASI,-6.184799,-79.340531,rural,Fuera de casco urbano INEI,,,,,,
7317,LAMBAYEQUE,FERREÑAFE,CAÑARIS,-6.055045,-79.39992,rural,Fuera de casco urbano INEI,,,,,,
7318,LAMBAYEQUE,FERREÑAFE,CAÑARIS,-6.081017,-79.304297,rural,Fuera de casco urbano INEI,,,,,,
7320,LORETO,REQUENA,EMILIO SAN MARTIN,-5.699416,-74.428409,rural,Fuera de casco urbano INEI,,,,,,
7321,LORETO,UCAYALI,SARAYACU,-5.939408,-74.712841,urbano,INEI casco urbano WFS,160505,MAQUIA,CASCO URBANO,40.32,0.051,urbano_periferico
7322,LORETO,MARISCAL RAMON CASTILLA,PEBAS,-3.760526,-71.626336,rural,Fuera de casco urbano INEI,,,,,,
7323,PIURA,AYABACA,PACAIPAMPA,-4.969959,-79.553042,rural,Fuera de casco urbano INEI,,,,,,
7324,PIURA,AYABACA,PACAIPAMPA,-5.016177,-79.626909,rural,Fuera de casco urbano INEI,,,,,,
7325,PIURA,AYABACA,PACAIPAMPA,-4.933254,-79.584018,rural,Fuera de casco urbano INEI,,,,,,
7326,PIURA,MORROPON,YAMANGO,-5.117889,-79.672853,rural,Fuera de casco urbano INEI,,,,,,
7327,PUNO,PUNO,COATA,-15.504904,-69.958563,rural,Fuera de casco urbano INEI,,,,,,
7328,PUNO,CARABAYA,ITUATA,-13.8856,-70.085093,rural,Fuera de casco urbano INEI,,,,,,
7329,PUNO,CHUCUITO,ZEPITA,-16.479316,-69.208284,rural,Fuera de casco urbano INEI,,,,,,
7330,PUNO,HUANCANE,VILQUE CHICO,-15.1199,-69.5555,urbano,INEI casco urbano WFS,210608,VILQUE CHICO,CASCO URBANO,165.55,0.2548,urbano_central
7331,PUNO,MELGAR,ANTAUTA,-14.48918,-70.346229,urbano,INEI casco urbano WFS,210802,ANTAUTA,CASCO URBANO,255.4,0.3296,urbano_central
7332,PUNO,MOHO,MOHO,-15.448319,-69.330562,urbano,INEI casco urbano WFS,210901,MOHO,CASCO URBANO,47.2,0.0472,urbano_periferico
7333,SAN MARTIN,LAMAS,CAYNARACHI,-6.116799,-76.276654,urbano,INEI casco urbano WFS,220504,CAYNARACHI,CASCO URBANO,198.06,0.2305,urbano_central
7334,SAN MARTIN,LAMAS,CUÑUMBUQUI,-6.665574,-76.469303,urbano,INEI casco urbano WFS,220505,CUÑUMBUQUI,CASCO URBANO,87.12,0.1559,urbano_periferico
7335,SAN MARTIN,SAN MARTIN,HUIMBAYOC,-6.528299,-75.670333,rural,Fuera de casco urbano INEI,,,,,,
7336,SAN MARTIN,SAN MARTIN,HUIMBAYOC,-6.433564,-75.805251,urbano,INEI casco urbano WFS,220907,HUIMBAYOC,CASCO URBANO,99.59,0.134,urbano_periferico
7337,SAN MARTIN,SAN MARTIN,HUIMBAYOC,-6.4319,-75.7009,rural,Fuera de casco urbano INEI,,,,,,
7338,SAN MARTIN,EL DORADO,SAN MARTIN,-6.4399,-76.8632,rural,Fuera de casco urbano INEI,,,,,,
7340,SAN MARTIN,EL DORADO,SAN MARTIN,-6.4819,-76.8029,rural,Fuera de casco urbano INEI,,,,,,
7341,SAN MARTIN,EL DORADO,SAN MARTIN,-6.376477,-76.901719,rural,Fuera de casco urbano INEI,,,,,,
7342,CAJAMARCA,SAN PABLO,SAN PABLO,-7.10956,-78.752765,rural,Fuera de casco urbano INEI,,,,,,
7343,CUSCO,LA CONVENCION,QUELLOUNO,-12.396646,-72.55815,rural,Fuera de casco urbano INEI,,,,,,
7344,PUNO,SANDIA,CUYOCUYO,-14.573359,-69.628937,rural,Fuera de casco urbano INEI,,,,,,
7345,SAN MARTIN,BELLAVISTA,SAN PABLO,-6.862377,-76.660452,rural,Fuera de casco urbano INEI,,,,,,
7346,SAN MARTIN,BELLAVISTA,BAJO BIAVO,-7.184549,-76.331006,rural,Fuera de casco urbano INEI,,,,,,
7347,AYACUCHO,CANGALLO,CHUSCHI,-13.453662,-74.382284,rural,Fuera de casco urbano INEI,,,,,,
7348,LA LIBERTAD,TRUJILLO,HUANCHACO,-8.0684,-79.07595,urbano,INEI casco urbano WFS,130105,LA ESPERANZA,CASCO URBANO,268.9,0.1087,urbano_periferico
7349,PIURA,AYABACA,PACAIPAMPA,-4.901011,-79.53025,rural,Fuera de casco urbano INEI,,,,,,
7350,ANCASH,POMABAMBA,PAROBAMBA,-8.651058,-77.40825,rural,Fuera de casco urbano INEI,,,,,,
7351,ANCASH,MARISCAL LUZURIAGA,CASCA,-8.828172,-77.42201,rural,Fuera de casco urbano INEI,,,,,,
7353,UCAYALI,CORONEL PORTILLO,IPARIA,-9.577472,-73.917501,rural,Fuera de casco urbano INEI,,,,,,
7354,CUSCO,CHUMBIVILCAS,SANTO TOMAS,-14.6364,-72.1506,rural,Fuera de casco urbano INEI,,,,,,
7355,HUANCAVELICA,TAYACAJA,COLCABAMBA,-12.3409,-74.7422,rural,Fuera de casco urbano INEI,,,,,,
7356,APURIMAC,AYMARAES,CHAPIMARCA,-14.0351,-73.1011,urbano,INEI casco urbano WFS,030404,CHAPIMARCA,CASCO URBANO,224.52,0.5253,urbano_central
7357,CAJAMARCA,CELENDIN,HUASMIN,-6.909402,-78.22826,rural,Fuera de casco urbano INEI,,,,,,
7358,CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,-7.072351,-78.466162,rural,Fuera de casco urbano INEI,,,,,,
7359,ANCASH,YUNGAY,SHUPLUY,-9.260274,-77.741318,rural,Fuera de casco urbano INEI,,,,,,
7360,CAJAMARCA,CELENDIN,HUASMIN,-6.945349,-78.206321,rural,Fuera de casco urbano INEI,,,,,,
7361,PUNO,PUNO,PICHACANI,-16.103826,-69.98283,rural,Fuera de casco urbano INEI,,,,,,
7362,CAJAMARCA,JAEN,COLASAY,-5.999448,-78.926362,rural,Fuera de casco urbano INEI,,,,,,
7363,LORETO,LORETO,TIGRE,-3.799554,-74.408295,urbano,INEI casco urbano WFS,160303,TIGRE,CASCO URBANO,109.94,0.1987,urbano_central
7365,PASCO,OXAPAMPA,CONSTITUCION,-9.973933,-75.046674,urbano,INEI casco urbano WFS,190308,CONSTITUCION,CASCO URBANO,37.58,0.027,urbano_periferico
7366,HUANUCO,PUERTO INCA,PUERTO INCA,-9.17014,-75.00551,rural,Fuera de casco urbano INEI,,,,,,
7367,PASCO,OXAPAMPA,CONSTITUCION,-10.07267,-75.02745,rural,Fuera de casco urbano INEI,,,,,,
7368,HUANUCO,AMBO,SAN RAFAEL,-10.3404,-76.1681,urbano,INEI casco urbano WFS,100207,SAN RAFAEL,CASCO URBANO,21.7,0.0441,urbano_periferico
7369,HUANUCO,PACHITEA,MOLINO,-9.94236,-76.03352,urbano,INEI casco urbano WFS,100803,MOLINO,CASCO URBANO,104.29,0.1967,urbano_central
7381,AYACUCHO,HUANTA,UCHURACCAY,-12.7628,-74.0037,urbano,INEI casco urbano WFS,050410,UCHURACCAY,CASCO URBANO,101.84,0.3695,urbano_central
7500,CUSCO,ACOMAYO,POMACANCHI,-14.1148,-71.6664,urbano,INEI casco urbano WFS,080205,POMACANCHI,CASCO URBANO,98.0,0.0984,urbano_periferico
7520,JUNIN,SATIPO,RIO TAMBO,-11.055575,-73.756125,rural,Fuera de casco urbano INEI,,,,,,
7535,CAJAMARCA,CAJABAMBA,CACHACHI,-7.473091,-78.173834,rural,Fuera de casco urbano INEI,,,,,,
7567,ANCASH,CARHUAZ,CARHUAZ,-9.284394,-77.59685,urbano,INEI casco urbano WFS,020602,ACOPAMPA,CASCO URBANO,26.98,0.0467,urbano_periferico
